Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,Mass Units,Mass,AutoSize
BalsaMachining.com,C5-2,.516x.474x2inch long T5 coupler,in.,.474,.516,2,Paper,0,oz.,0,1
BalsaMachining.com,C20-3,.708x.666x3 inch long T20 coupler,in.,.666,.708,3,Paper,0,oz.,0,1
BalsaMachining.com,C50-1,.948x.88x.034x1in long T50 coupler.,in.,.88,.948,1,Paper,0,oz.,0,1
BalsaMachining.com,C50-4,.948x.88x.034x4in long T50 coupler.,in.,.88,.948,4,Paper,0,oz.,0,1
BalsaMachining.com,C52H-4,1.137x.977x4 inch T52H coupler  .080thk,in.,.977,1.137,4,Paper,0,oz.,0,1
BalsaMachining.com,C55-4,1.280x1.212x4 inch long T55 coupler,in.,1.212,1.28,4,Paper,0,oz.,0,1
BalsaMachining.com,C60-4,1.592x1.524x4 inch long T60 coupler,in.,1.524,1.592,4,Paper,0,oz.,0,1
BalsaMachining.com,C188-4,1.796x1.728x4 inch long T188 coupler,in.,1.728,1.796,4,Paper,0,oz.,0,1
BalsaMachining.com,C204-4,1.997x1.929x4 inch long T204 coupler,in.,1.929,1.997,4,Paper,0,oz.,0,1
BalsaMachining.com,C70-4,2.172x2.104x4 in long T70 or T70H coupler,in.,2.104,2.172,4,Paper,0,oz.,0,1
BalsaMachining.com,C80-4,2.554x2.474x4in long T80 or T80H coupler,in.,2.474,2.554,4,Paper,0,oz.,0,1
BalsaMachining.com,C80-6,2.554x2.474x6in T80 or T80H coupler stock,in.,2.474,2.554,6,Paper,0,oz.,0,1
BalsaMachining.com,C5-34,.516x.474x34inch long T5 coupler stock,in.,.474,.516,34,Paper,0,oz.,0,1
BalsaMachining.com,C20-34,.708x.666x34 inch long T20 coupler stock,in.,.666,.708,34,Paper,0,oz.,0,1
BalsaMachining.com,C50-34,.948x.88x.034x34 T50 coupler stk.,in.,.88,.948,34,Paper,0,oz.,0,1
BalsaMachining.com,C52H-34,1.137x.977x34inch T52H coupler stock .080thk,in.,.977,1.137,34,Paper,0,oz.,0,1
BalsaMachining.com,C55-34,1.280x1.212x34 inch long T55 coupler stock,in.,1.212,1.28,34,Paper,0,oz.,0,1
BalsaMachining.com,C60-34,1.592x1.524x34 inch long T60 coupler stock,in.,1.524,1.592,34,Paper,0,oz.,0,1
BalsaMachining.com,C188-34,1.796x1.728x34 inch long T188 coupler stock,in.,1.728,1.796,34,Paper,0,oz.,0,1
BalsaMachining.com,C204-34,1.997x1.929x34 inch long T204 coupler stock,in.,1.929,1.997,34,Paper,0,oz.,0,1
BalsaMachining.com,C70-34,2.172x2.104x34in T70 or T70H coupler stock,in.,2.104,2.172,34,Paper,0,oz.,0,1
BalsaMachining.com,C80-34,2.554x2.474x34in T80 or T80H coupler stock,in.,2.474,2.554,34,Paper,0,oz.,0,1
