Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Mass Units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass
Giant Leap,C-2.15,2.15 CT,mm,51.308,54.61,101.6,Kraft phenolic,0,0,0,,,,,,,
Giant Leap,C-2.15-L,2.15 CT,mm,51.562,54.61,927.1,Kraft phenolic,0,0,0,,,,,,,
Giant Leap,C-2.56,2.56 CT,mm,62.738,65.024,127,Kraft phenolic,0,0,0,,,,,,,
Giant Leap,C-2.56-L,2.56 CT,mm,62.738,65.024,927.1,Kraft phenolic,0,0,0,,,,,,,
Giant Leap,C-3.00,3.0 CT,mm,73.66,76.2,127,Kraft phenolic,0,0,0,,,,,,,
Giant Leap,C-3.00-L,3.0 CT,mm,73.66,76.2,927.1,Kraft phenolic,0,0,0,,,,,,,
Giant Leap,C-3.90,3.9 CT,mm,96.266,99.06,177.8,Kraft phenolic,0,0,0,,,,,,,
Giant Leap,C-3.90-L,3.9 CT,mm,96.266,99.06,927.1,Kraft phenolic,0,0,0,,,,,,,
Giant Leap,C-6.007-L,6.0 CT,mm,148.59,152.5778,1219.2,Kraft phenolic,0,0,0,,,,,,,
Giant Leap,C-7.512-L,7.5 CT,mm,186.182,190.8048,1219.2,Kraft phenolic,0,0,0,,,,,,,
