Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Mass Units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass
Quest,10311,MMX Engine Tube/1in,in,0.252,0.276,1,Paper,,oz,0.05,,,,,,,,,,,,,,,,,,,
Quest,9527,MMX Body Tube/6in,in,0.257,0.277,6,Paper,,oz,0.05,,,,,,,,,,,,,,,,,,,
Quest,9528,MMX Body Tube/6in,in,0.372,0.392,6,Paper,,oz,0.05,,,,,,,,,,,,,,,,,,,
Quest,Red tint payload tube,Clear Red Body Tube/4in,in,0.944,0.984,4,Plastic,,oz,0.3,,,,,,,,,,,,,,,,,,,
Quest,T153000,Body Tube/30in,in,0.55,0.59,30,Paper,,oz,0.6,,,,,,,,,,,,,,,,,,,
Quest,T203000,Body Tube/30in,in,0.752,0.788,30,Paper,,oz,0.7,,,,,,,,,,,,,,,,,,,
Quest,10315,D5 Motor Mount Tube/3.65in,in,0.795,0.835,3.65,Paper,,oz,0.01,,,,,,,,,,,,,,,,,,,
Quest,T253000,Body Tube/30in,in,0.944,0.984,30,Paper,,oz,0.95,,,,,,,,,,,,,,,,,,,
Quest,T303000,Body Tube/30in,in,1.141,1.181,30,Paper,,oz,1.2,,,,,,,,,,,,,,,,,,,
Quest,T353000,Body Tube/30in,in,1.34,1.38,30,Paper,,oz,1.25,,,,,,,,,,,,,,,,,,,
Quest,T403000,Body Tube/30in,in,1.53,1.57,30,Paper,,oz,1.35,,,,,,,,,,,,,,,,,,,
Quest,T502400,Body Tube/24in,in,1.92,1.97,24,Paper,,oz,2,,,,,,,,,,,,,,,,,,,
