Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material
SEMROC Astronautics,LL-2A,Launch Lug 1/8 x 1.25,in,0.15,0.176,1.25,Paper
SEMROC Astronautics,LL-2AM,Launch Lug 1/8 x .375,in,0.15,0.176,0.375,Paper
SEMROC Astronautics,LL-2B,Launch Lug 1/8 x 2.375,in,0.15,0.176,2.375,Paper
SEMROC Astronautics,LL-2C,Launch Lug 1/8 x 5,in,0.15,0.176,5,Paper
SEMROC Astronautics,LL-2D,Launch Lug 1/8 x 8,in,0.15,0.176,8,Paper
SEMROC Astronautics,LL-2E,Launch Lug 1/8 x 9.5,in,0.15,0.176,9.5,Paper
SEMROC Astronautics,LL-3B,Launch Lug 3/16 x 2,in,0.214,0.24,2,Paper
SEMROC Astronautics,LL-103,Launch Lug 1/8 x .375,in,0.15,0.176,0.375,Paper
SEMROC Astronautics,LL-110,Launch Lug 1/8 x 1,in,0.15,0.176,1,Paper
SEMROC Astronautics,LL-115,Launch Lug 1/8 x 1.5,in,0.15,0.176,1.5,Paper
SEMROC Astronautics,LL-117,Launch Lug 1/8 x 1.75,in,0.15,0.176,1.75,Paper
SEMROC Astronautics,LL-122,Launch Lug 1/8 x 2.25,in,0.15,0.176,2.25,Paper
SEMROC Astronautics,LL-130,Launch Lug 1/8 x 3,in,0.15,0.176,3,Paper
SEMROC Astronautics,LL-180,Launch Lug 1/8 x 8,in,0.15,0.176,8,Paper
SEMROC Astronautics,LL-195,Launch Lug 1/8 x 9.5,in,0.15,0.176,9.5,Paper
SEMROC Astronautics,LL-310,Launch Lug 3/16 x 1,in,0.214,0.24,1,Paper
SEMROC Astronautics,LL-320,Launch Lug 3/16 x 2,in,0.214,0.24,2,Paper
SEMROC Astronautics,LL-330,Launch Lug 3/16 x 3,in,0.214,0.24,3,Paper
SEMROC Astronautics,LL-423,Launch Lug 1/4 x 2.25,in,0.276,0.302,2.25,Paper
