Mfg.,Part No.,Desc.,Units,n sides,OD,ID,Shroud Count,Shroud Len,Shroud Material,Chute Thickness,Chute Material,Mass Units,Mass,Mass,Mass,Mass,Mass,Mass
Public Missiles,PML Xform,12 in. nylon,in.,4,12,0,4,12,Thin poly,,Rip stop nylon,oz.,0.3,,,,,
Public Missiles,PML PAR-18-F111,18 in. nylon,in.,8,18,3.5,8,13,Thin poly,0,Rip stop nylon,oz.,0.6,,,,,
Public Missiles,PML PAR-24R,24 in. nylon,in.,8,24,6,8,20,Thin poly,0,Rip stop nylon,oz.,1.6,,,,,
Public Missiles,PML PAR-30R,30 in. nylon,in.,8,30,6,8,24,Thin poly,0,Rip stop nylon,oz.,2.4,,,,,
Public Missiles,PML PAR-34R,34 in. nylon,in.,8,34,7,8,25,Thin poly,0,Rip stop nylon,oz.,2.9,,,,,
Public Missiles,PML PAR-36R,36 in. nylon,in.,8,36,7,8,27,Thin poly,0,Rip stop nylon,oz.,3.1,,,,,
Public Missiles,PML PAR-44R,44 in. nylon,in.,8,44,7,8,32,Thin poly,0,Rip stop nylon,oz.,4.1,,,,,
Public Missiles,PML PAR-48R,48 in. nylon,in.,8,48,7,8,36,Thin poly,0,Rip stop nylon,oz.,4.4,,,,,
Public Missiles,PML PAR-54R,54 in. nylon,in.,8,54,8,8,41,Medium poly,0,Rip stop nylon,oz.,4.8,,,,,
Public Missiles,PML PAR-60R,60 in. nylon,in.,8,60,9.5,10,42,Heavy poly,0,Rip stop nylon,oz.,7.9,,,,,
Public Missiles,PML PAR-62R,62 in. nylon,in.,8,62,9.5,10,44,Heavy poly,0,Rip stop nylon,oz.,8.3,,,,,
Public Missiles,PML PAR-72R,72 in. nylon,in.,8,72,10,10,45,Heavy poly,0,Rip stop nylon,oz.,9,,,,,
Public Missiles,PML PAR-74R,74 in. nylon,in.,8,74,10,10,47,Heavy poly,0,Rip stop nylon,oz.,9.5,,,,,
Public Missiles,PML PAR-84R,84 in. nylon,in.,8,84,12,10,60,Heavy poly,0,Rip stop nylon,oz.,11.9,,,,,
Public Missiles,PML PAR-96R,96 in. nylon,in.,8,96,12,10,72,Heavy poly,0,Rip stop nylon,oz.,25.5,,,,,
