Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,AutoSize,,,
Quest,CR2125,Paper Center Ring D5(20mm) to T25 x.045,in,0.835,0.944,0.045,Paper,0,g,0.01,0
Quest,CR2130,Paper Center Ring D5(20mm) to T30 x.045,in,0.835,1.141,0.045,Paper,0,g,0.01,0
Quest,CR2135,Paper Center Ring D5(20mm) to T35 x.045,in,0.835,1.34,0.045,Paper,0,g,0.01,0
Quest,CR2140,Paper Center Ring D5(20mm) to T40 x.045,in,0.835,1.53,0.045,Paper,0,g,0.01,0
Quest,CR2150,Paper Center Ring D5(20mm) to T50 x.07,in,0.835,1.92,0.07,Paper,0,g,0.01,0
Quest,14007,MMX Centering Ring .278 x .37 x .5in,in,0.278,0.37,0.5,Paper,0,oz,0.01,0
Quest,CR24,Paper Center Ring .75 x .942 x .25,in,0.75,0.942,0.25,Paper,0,g,0,0
Quest,CR2924,Paper Center Ring .994(25mm)x 1.134(29mm) x .5,in,0.994,1.134,0.5,Paper,0,g,0,0
Quest,CR29,Paper Center Ring 10303(18mm) to T30 x .045,in,0.738,1.141,0.045,Paper,0,g,0,0
Quest,CR2534,Paper Center Ring T25(24mm) to T35 x .05,in,0.984,1.34,0.05,Paper,0,g,0,0
Quest,CR34,Paper Center Ring 10303(18mm) to T35 x .045,in,0.738,1.34,0.045,Paper,0,g,0,0
Quest,CR39,Paper Center Ring 10303(18mm) to T40 x .045,in,0.738,1.53,0.045,Paper,0,g,0,0
Quest,CR4924,Paper Center Ring T25(24mm) to T50 x .07,in,0.984,1.92,0.07,Paper,0,g,0,0
Quest,CR4929,Paper Center Ring T29(29mm) to T50 x .07,in,1.215,1.92,0.07,Paper,0,g,0,0
