Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len
Estes,BNC-5E ,Balsa Nose cone,in,1.38,0.544,0,0.25,0.519,0,parabolic,solid,Balsa,0.812,oz,0.02,0,,,,,,,,,,,,,
Estes,PNC-5A,Plastic Nose cone,in,2.125,0.544,0,0.5,0.519,0.0625,parabolic,hollow,Polystyrene PS,0,oz,0.1,0,,,,,,,,,,,,,
Estes,BNC-5S ,Balsa Nose cone,in,1.5,0.544,0,0.25,0.519,0,cone,solid,Balsa,0.875,oz,0.016,0,,,,,,,,,,,,,
Estes,BNC-5V ,Balsa Nose cone,in,0.75,0.544,0,0.25,0.519,0,parabolic,solid,Balsa,0.5,oz,0.013,0,,,,,,,,,,,,,
Estes,BNC-5W ,Balsa Nose cone,in,2.8,0.544,0,0.25,0.519,0,ogive,solid,Balsa,1.525,oz,0.039,0,,,,,,,,,,,,,
Estes,BNC-20AM ,Balsa Nose cone,in,2,0.736,0,0.5,0.71,0,parabolic,solid,Balsa,1.25,oz,0.06,0,,,,,,,,,,,,,
Estes,BNC-20B ,Balsa Nose cone,in,1.7,0.736,0,0.5,0.71,0,parabolic,solid,Balsa,1.1,oz,0.05,0,,,,,,,,,,,,,
Estes,BNC-20R ,Balsa Nose cone,in,2.75,0.736,0,0.5,0.71,0,cone,solid,Balsa,1.625,oz,0.07,0,,,,,,,,,,,,,
Estes,PNC-20Y,Plastic Nose cone,in,0.95,0.736,0,0.5,0.71,0,cone,hollow,Polystyrene PS,0,oz,0.1,0,,,,,,,,,,,,,
Estes,BNC-20Y ,Balsa Nose cone,in,0.95,0.736,0,0.5,0.71,0,cone,solid,Balsa,0.725,oz,0.02,0,,,,,,,,,,,,,
Estes,DART ,Plastic Nose cone,in,2.88,0.736,0,0.5,0.71,0.0625,ogive,hollow,Polystyrene PS,0,g,0,0,,,,,,,,,,,,,
Estes,PNC-20,Plastic Nose cone,in,2.65,0.736,0,0.5,0.71,0.0625,ogive,hollow,Polystyrene PS,1.77,g,3.35,0,,,,,,,,,,,,,
Estes,PNC-50YR,Plastic Nose cone,in,4.125,0.976,0,0.75,0.95,0.125,parabolic,hollow,Polystyrene PS,0,oz,0.3,0,,,,,,,,,,,,,
Estes,BNC-50J ,Balsa Nose cone,in,1.37,0.976,0,0.5,0.95,0,parabolic,solid,Balsa,0.935,oz,0.08,0,,,,,,,,,,,,,
Estes,BNC-50K ,Balsa Nose cone,in,2.75,0.976,0,0.5,0.95,0,ogive,solid,Balsa,1.625,oz,0.13,0,,,,,,,,,,,,,
Estes,BNC-50KA,Balsa Nose cone,in,2.735,0.976,0,0.75,0.95,0,ogive,solid,Balsa,1.7425,oz,0.13,0,,,,,,,,,,,,,
Estes,BNC-50Y ,Balsa Nose cone,in,4.35,0.976,0,0.5,0.95,0,ogive,solid,Balsa,2.425,oz,0.16,0,,,,,,,,,,,,,
Estes,PNC-55BB,Plastic Nose cone,in,6.5,1.325,0,1.25,1.283,0.125,cone,hollow,Polystyrene PS,0,oz,0.5,0,,,,,,,,,,,,,
Estes,PNC-55AC ,Plastic Nose cone,in,5.403,1.325,0,0.75,1.283,0.125,ogive,hollow,Polystyrene PS,2.9515,oz,0.4,0,,,,,,,,,,,,,
Estes,PNC-55 ,Plastic Sentinal Nose cone,in,8.375,1.325,0,1,1.283,0.125,ogive,hollow,Polystyrene PS,2.95,g,24.8058,0,,,,,,,,,,,,,
Estes,PNC-56,Plastic Nose cone,in,6.375,1.346,0,0.75,1.3,0.125,parabolic,hollow,Polystyrene PS,0,oz,0.6,0,,,,,,,,,,,,,
Estes,PNC-60A,Plastic Nose cone,mm,120.65000000000001,41.580000000000005,0.,19.050000000000001,40.513000000000005,2.3876,ogive,hollow,Polystyrene PS,76.200000000000003,g,24.380600000000001,0.
Estes,PNC-60AH ,Plastic Nose cone,in,6.75,1.637,0,0.8,1.595,0.125,parabolic,hollow,Polystyrene PS,3.775,oz,1,0,,,,,,,,,,,,,
Estes,PNC-60L ,Plastic Nose cone,in,2.5,1.637,0,0.75,1.595,0.125,elliptical,hollow,Polystyrene PS,1.625,g,11.056,0,,,,,,,,,,,,,
Estes,PNC-60MS ,Plastic Nose cone,in,2.5,1.637,0,0.75,1.595,0.125,parabolic,hollow,Polystyrene PS,1.625,oz,0.5,0,,,,,,,,,,,,,
Estes,PNC-60NA,Plastic Nose cone,in,4.75,1.637,0,0.75,1.595,0.125,ogive,hollow,Polystyrene PS,0,oz,0.6,0,,,,,,,,,,,,,
Estes,BNC-70AJ ,Balsa Nose cone,in,4.4,2.217,0,0.75,2.18,0,parabolic,solid,Balsa,2.575,oz,0.85,0,,,,,,,,,,,,,
Estes,PNC-80BB,Plastic Nose cone,mm,101.6,66.04,0,38.1,64.922,3.175,elliptical,hollow,Polystyrene PS,0,g,35.892,0,,,,,,,,,,,,,
Estes,PNC-80K ,Plastic Nose cone,in,8.15,2.6,0,1,2.558,0.125,ogive,hollow,Polystyrene PS,4.575,oz,1.68,0,,,,,,,,,,,,,
Estes,PNC-55AO,Elliptical,mm,127,33.655,0,15.24,32.588,2.3876,elliptical,hollow,Polystyrene PS,100.99,g,12.19,0,,,,,,,,,,,,,
